Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
Software Engineer,MNC,E-Commerce,Tier 1,Contract,12,"Python, Data Structures, Java, System Design, Algorithms",M.Tech/M.E.,2,junior
Node.js Developer,Startup,EdTech,Remote,Full-Time,72.7,"REST APIs, TypeScript, Express.js, Node.js, MongoDB, JavaScript",B.Tech/B.E.,10,lead
Python Developer,MNC,Information Technology,Tier 1,Full-Time,53.3,"Django, Docker, Python",B.Sc (CS/IT),10,lead
Python Developer,Indian Unicorn,Information Technology,Remote,Full-Time,16.9,"FastAPI, AWS, PostgreSQL, Django",M.Tech/M.E.,4.5,mid
Backend Developer,MNC,FinTech,Tier 1,Full-Time,4.6,"PostgreSQL, Java, MongoDB, Python, Node.js, FastAPI",B.Tech/B.E.,0.5,fresher
Cybersecurity Analyst,Startup,Information Technology,Remote,Full-Time,21.1,"Penetration Testing, Python, SIEM, Ethical Hacking",M.Tech/M.E.,4.5,mid
Data Scientist,Startup,Manufacturing,Tier 1,Full-Time,7.3,"SQL, Scikit-learn, Statistics",BCA,0.5,fresher
DevOps Engineer,PSU/Govt,Information Technology,Tier 1,Full-Time,10.2,"Docker, Ansible, Linux, CI/CD, Terraform",B.Sc (CS/IT),4.5,mid
Data Analyst,Indian Unicorn,E-Commerce,Tier 1,Part-Time,58,"Data Visualization, Python, Power BI, SQL",B.Sc (CS/IT),10,lead
Data Engineer,MNC,E-Commerce,Tier 2,Full-Time,11.5,"dbt, ETL, SQL, AWS, Airflow",M.Tech/M.E.,2,junior
Python Developer,Indian Unicorn,Information Technology,Remote,Full-Time,33.1,"FastAPI, REST APIs, Django, Python",B.Sc (CS/IT),4.5,mid
Engineering Manager,Startup,Information Technology,Tier 1,Full-Time,46.1,"Agile, People Management, Hiring",B.Tech/B.E.,8,senior
Data Engineer,PSU/Govt,Consulting,Tier 2,Full-Time,21.7,"Kafka, Python, dbt, AWS",B.Tech/B.E.,10,lead
Node.js Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,63.2,"Express.js, MongoDB, REST APIs, Node.js, TypeScript",M.Tech/M.E.,10,lead
Technical Lead,Startup,Banking & Finance,Remote,Full-Time,27.6,"Microservices, Team Leadership, Code Review, AWS",M.Tech/M.E.,8,senior
Data Scientist,Startup,Information Technology,Remote,Full-Time,93.9,"Deep Learning, SQL, Pandas, Python, Tableau, Scikit-learn",B.Tech/B.E.,10,lead
Backend Developer,MNC,Consulting,Tier 2,Full-Time,7.7,"FastAPI, Node.js, MongoDB, Django",PhD,2,junior
Node.js Developer,MNC,Information Technology,Tier 1,Full-Time,18.4,"MongoDB, JavaScript, Express.js, REST APIs",M.Tech/M.E.,4.5,mid
DevOps Engineer,Indian Unicorn,EdTech,Remote,Full-Time,11.3,"Kubernetes, Jenkins, Docker, CI/CD, AWS, Linux",M.Tech/M.E.,2,junior
DevOps Engineer,Startup,FinTech,Remote,Contract,5.9,"CI/CD, Docker, Jenkins, Ansible",B.Sc (CS/IT),0.5,fresher
Data Engineer,PSU/Govt,E-Commerce,Remote,Full-Time,7.2,"Kafka, Airflow, ETL",M.Tech/M.E.,2,junior
iOS Developer,Startup,E-Commerce,Remote,Full-Time,24.6,"Firebase, REST APIs, Xcode, Core Data",B.Tech/B.E.,4.5,mid
Power BI Developer,PSU/Govt,FinTech,Tier 1,Full-Time,3.6,"SQL, Excel, Data Modeling",B.Sc (CS/IT),0.5,fresher
React Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,48.6,"Redux, TypeScript, React, JavaScript, HTML/CSS",MCA,10,lead
Power BI Developer,Indian Unicorn,Information Technology,Tier 2,Contract,36.7,"DAX, ETL, SQL, Excel",M.Tech/M.E.,8,senior
Technical Lead,Indian Unicorn,Government/PSU,Remote,Full-Time,8.8,"System Design, AWS, Team Leadership",BCA,0.5,fresher
Machine Learning Engineer,Startup,Information Technology,Tier 1,Contract,8.2,"Python, Kubernetes, MLOps, TensorFlow, Docker, AWS",B.Sc (CS/IT),0.5,fresher
iOS Developer,MNC,EdTech,Remote,Full-Time,33.7,"Core Data, Xcode, SwiftUI, Firebase, Swift",B.Tech/B.E.,8,senior
Software Engineer,Startup,Consulting,Tier 1,Full-Time,11.6,"REST APIs, Python, C++, Algorithms",B.Tech/B.E.,2,junior
Data Scientist,MNC,Information Technology,Tier 1,Full-Time,22.7,"Pandas, Deep Learning, TensorFlow, NLP",MBA,4.5,mid
Data Analyst,Startup,Telecom,Tier 1,Full-Time,9.4,"Python, Data Visualization, Excel, Power BI, SQL",PhD,2,junior
Node.js Developer,PSU/Govt,Consulting,Tier 1,Full-Time,13.4,"REST APIs, MongoDB, TypeScript",MBA,4.5,mid
Software Engineer,Indian Unicorn,Information Technology,Remote,Full-Time,23.2,"Java, System Design, Algorithms, REST APIs, Python",M.Tech/M.E.,4.5,mid
Business Analyst,Indian Unicorn,E-Commerce,Remote,Internship,2.5,"Excel, SQL, Requirements Gathering, Power BI",B.Tech/B.E.,0.5,fresher
Technical Lead,Startup,Media & Entertainment,Remote,Contract,5.9,"System Design, Microservices, Agile",B.Tech/B.E.,0.5,fresher
UI/UX Designer,MNC,Media & Entertainment,Tier 1,Full-Time,13.8,"User Research, Figma, Wireframing, Prototyping, Adobe XD, CSS",B.Tech/B.E.,4.5,mid
QA Engineer,Indian Unicorn,Telecom,Tier 2,Contract,20.2,"JIRA, Selenium, Python, Manual Testing",B.Tech/B.E.,4.5,mid
Data Scientist,MNC,Information Technology,Tier 1,Full-Time,71.6,"Statistics, Pandas, Machine Learning",BCA,10,lead
Full Stack Developer,Indian Unicorn,EdTech,Remote,Full-Time,5.9,"AWS, PostgreSQL, MongoDB",M.Tech/M.E.,0.5,fresher
Product Manager,MNC,Media & Entertainment,Remote,Full-Time,18.7,"User Research, JIRA, Roadmapping, A/B Testing",B.Tech/B.E.,4.5,mid
Python Developer,Startup,E-Commerce,Tier 1,Full-Time,5.3,"FastAPI, Django, REST APIs, Docker, PostgreSQL",PhD,0.5,fresher
Android Developer,Startup,Information Technology,Tier 2,Full-Time,10.6,"REST APIs, Kotlin, Jetpack Compose",B.Tech/B.E.,2,junior
Engineering Manager,Indian Unicorn,FinTech,Tier 1,Contract,7.9,"Roadmapping, People Management, System Design, Hiring",M.Tech/M.E.,0.5,fresher
Python Developer,PSU/Govt,EdTech,Tier 1,Full-Time,16.4,"REST APIs, Python, Django, PostgreSQL",M.Tech/M.E.,8,senior
React Developer,MNC,Information Technology,Tier 1,Full-Time,5.6,"Redux, React, Next.js",BCA,0.5,fresher
Data Scientist,MNC,Information Technology,Remote,Full-Time,19.4,"NLP, Deep Learning, Python",MBA,4.5,mid
Business Analyst,MNC,Banking & Finance,Tier 1,Full-Time,5.2,"Excel, SQL, Requirements Gathering, Power BI, Agile, JIRA",MCA,0.5,fresher
QA Engineer,Startup,E-Commerce,Remote,Full-Time,20.5,"JIRA, Manual Testing, Selenium, API Testing, Postman",B.Tech/B.E.,4.5,mid
Data Scientist,MNC,Information Technology,Remote,Contract,6.4,"TensorFlow, SQL, Tableau",B.Com + Certification,0.5,fresher
AI Engineer,Startup,HealthTech,Tier 2,Part-Time,17,"LangChain, Vector DBs, Prompt Engineering",B.Tech/B.E.,2,junior
Frontend Developer,Startup,Government/PSU,Tier 1,Full-Time,6.4,"JavaScript, TypeScript, Figma",MCA,0.5,fresher
Cloud Engineer,PSU/Govt,Manufacturing,Tier 1,Part-Time,3.6,"Terraform, Linux, GCP, Kubernetes, Docker, AWS",BCA,0.5,fresher
Data Scientist,MNC,E-Commerce,Tier 1,Full-Time,28.5,"Machine Learning, NLP, Statistics",B.Tech/B.E.,8,senior
Engineering Manager,Indian Unicorn,Gaming,Tier 1,Full-Time,13.2,"Hiring, People Management, Roadmapping, Agile, System Design, OKRs",MBA,2,junior
Python Developer,PSU/Govt,FinTech,Tier 1,Full-Time,25.1,"PostgreSQL, FastAPI, Docker, AWS, REST APIs",B.Tech/B.E.,10,lead
QA Engineer,Startup,FinTech,Tier 2,Full-Time,8.3,"Python, Postman, Manual Testing, API Testing",M.Tech/M.E.,2,junior
Python Developer,Startup,Manufacturing,Remote,Full-Time,62.5,"PostgreSQL, Docker, REST APIs",B.Tech/B.E.,10,lead
Technical Lead,MNC,Information Technology,Tier 2,Full-Time,18.6,"Microservices, Team Leadership, Agile, System Design",M.Tech/M.E.,4.5,mid
Backend Developer,PSU/Govt,HealthTech,Remote,Full-Time,3.7,"PostgreSQL, FastAPI, Java",M.Tech/M.E.,0.5,fresher
iOS Developer,Indian Unicorn,Banking & Finance,Remote,Internship,2.3,"SwiftUI, Xcode, Core Data, REST APIs, Firebase",B.Com + Certification,4.5,mid
Business Analyst,PSU/Govt,Information Technology,Tier 1,Full-Time,3.4,"Agile, Power BI, JIRA",MCA,0.5,fresher
NLP Engineer,MNC,Government/PSU,Tier 2,Full-Time,8.6,"BERT, TensorFlow, Transformers, Python, LLMs",B.Tech/B.E.,2,junior
Power BI Developer,PSU/Govt,FinTech,Tier 1,Internship,1.4,"Excel, Data Modeling, Azure",B.Tech/B.E.,10,lead
Data Scientist,Indian Unicorn,Information Technology,Remote,Contract,82.4,"NLP, Deep Learning, SQL, TensorFlow, Machine Learning",B.Tech/B.E.,10,lead
Frontend Developer,PSU/Govt,Manufacturing,Remote,Contract,7.3,"JavaScript, Tailwind CSS, Figma, React, TypeScript, Next.js",B.Tech/B.E.,2,junior
Cybersecurity Analyst,Indian Unicorn,Information Technology,Tier 1,Full-Time,12.2,"Network Security, SIEM, Python, Penetration Testing, Ethical Hacking",MBA,2,junior
Android Developer,MNC,FinTech,Remote,Full-Time,29.2,"Kotlin, Jetpack Compose, Firebase, Android SDK",B.Tech/B.E.,8,senior
Python Developer,MNC,Information Technology,Tier 1,Full-Time,20.7,"PostgreSQL, FastAPI, Docker, Django, AWS, REST APIs",B.Tech/B.E.,4.5,mid
MLOps Engineer,Startup,Consulting,Tier 2,Full-Time,7.9,"Kubernetes, CI/CD, Python, AWS",B.Sc (CS/IT),0.5,fresher
Computer Vision Engineer,PSU/Govt,Banking & Finance,Remote,Full-Time,21.5,"OpenCV, Deep Learning, TensorFlow, YOLO, PyTorch",B.Tech/B.E.,8,senior
Machine Learning Engineer,MNC,Banking & Finance,Remote,Full-Time,10.2,"Kubernetes, Python, AWS, Docker",B.Sc (CS/IT),2,junior
Java Developer,Startup,Information Technology,Tier 1,Full-Time,21.6,"REST APIs, Microservices, Maven, SQL, Spring Boot, Hibernate",B.Sc (CS/IT),4.5,mid
Software Engineer,PSU/Govt,Information Technology,Remote,Full-Time,3.8,"Algorithms, Python, C++, REST APIs, Git",B.Tech/B.E.,0.5,fresher
UI/UX Designer,Indian Unicorn,Information Technology,Tier 1,Full-Time,55.5,"Adobe XD, Figma, Prototyping, User Research, Wireframing, CSS",B.Tech/B.E.,10,lead
Backend Developer,Indian Unicorn,FinTech,Tier 1,Internship,1.9,"Django, MongoDB, Python",B.Tech/B.E.,10,lead
Data Engineer,Startup,FinTech,Tier 1,Full-Time,9.1,"Kafka, AWS, dbt",B.Tech/B.E.,2,junior
Data Analyst,Indian Unicorn,Information Technology,Remote,Full-Time,16.3,"Python, Power BI, Tableau, Data Visualization",MCA,2,junior
Java Developer,MNC,E-Commerce,Remote,Full-Time,17.5,"Spring Boot, Microservices, Java",B.Tech/B.E.,4.5,mid
Technical Lead,Indian Unicorn,Information Technology,Tier 2,Full-Time,10.7,"Agile, Microservices, System Design, Team Leadership, AWS, Code Review",B.Tech/B.E.,2,junior
Engineering Manager,Startup,HealthTech,Tier 1,Full-Time,25,"Agile, People Management, Roadmapping, System Design, OKRs",B.Tech/B.E.,4.5,mid
UI/UX Designer,Indian Unicorn,FinTech,Tier 1,Full-Time,8.6,"Wireframing, CSS, User Research, Adobe XD, Prototyping",B.Tech/B.E.,0.5,fresher
Cloud Engineer,Indian Unicorn,EdTech,Tier 1,Full-Time,27,"AWS, Terraform, Azure, Kubernetes, Docker",BCA,4.5,mid
Data Scientist,Indian Unicorn,Automobile,Tier 1,Full-Time,33.6,"Deep Learning, Tableau, SQL, Python",M.Tech/M.E.,4.5,mid
DevOps Engineer,MNC,Information Technology,Tier 2,Full-Time,19.1,"CI/CD, Linux, Kubernetes, AWS, Jenkins, Docker",M.Tech/M.E.,4.5,mid
Computer Vision Engineer,Indian Unicorn,E-Commerce,Tier 2,Contract,16.3,"PyTorch, Deep Learning, OpenCV, YOLO, TensorFlow",B.Tech/B.E.,2,junior
Data Engineer,Startup,EdTech,Tier 2,Part-Time,46,"dbt, Kafka, Python, SQL, Spark",B.Tech/B.E.,8,senior
AI Engineer,Startup,Retail,Remote,Full-Time,6.2,"LangChain, Python, Vector DBs, LLMs, Prompt Engineering, OpenAI API",MCA,0.5,fresher
Full Stack Developer,MNC,Banking & Finance,Tier 2,Internship,2.3,"React, Python, AWS",B.Tech/B.E.,2,junior
Backend Developer,MNC,Information Technology,Remote,Full-Time,28.8,"MongoDB, PostgreSQL, FastAPI, Redis, Docker",B.Sc (CS/IT),8,senior
Java Developer,PSU/Govt,Information Technology,Remote,Full-Time,30.8,"Spring Boot, Microservices, REST APIs, Hibernate, SQL",B.Tech/B.E.,10,lead
Full Stack Developer,PSU/Govt,Information Technology,Remote,Full-Time,20.4,"PostgreSQL, MongoDB, Python, Node.js",B.Sc (CS/IT),8,senior
Backend Developer,Indian Unicorn,Consulting,Tier 1,Internship,2.7,"Docker, PostgreSQL, Redis",B.Sc (CS/IT),4.5,mid
Engineering Manager,MNC,Information Technology,Tier 2,Full-Time,12.6,"System Design, People Management, Agile, Roadmapping",B.Tech/B.E.,2,junior
Software Engineer,Startup,Banking & Finance,Remote,Full-Time,14.1,"Data Structures, Python, Git, Algorithms",MCA,2,junior
AI Engineer,Indian Unicorn,E-Commerce,Tier 1,Full-Time,12.5,"Prompt Engineering, NLP, RAG",B.Tech/B.E.,2,junior
AI Engineer,Indian Unicorn,HealthTech,Tier 1,Internship,2.4,"LangChain, LLMs, Vector DBs",B.Tech/B.E.,2,junior
Backend Developer,PSU/Govt,EdTech,Remote,Full-Time,8.1,"Python, Redis, PostgreSQL",MCA,2,junior
Data Analyst,Indian Unicorn,E-Commerce,Remote,Full-Time,51.4,"Data Visualization, Tableau, Statistics",MCA,10,lead
Java Developer,PSU/Govt,Gaming,Remote,Full-Time,7.3,"REST APIs, Spring Boot, Microservices, Java, Hibernate, Maven",M.Tech/M.E.,2,junior
QA Engineer,Indian Unicorn,Government/PSU,Tier 1,Full-Time,11.4,"Postman, API Testing, Selenium, Manual Testing",M.Tech/M.E.,2,junior
Business Analyst,PSU/Govt,Banking & Finance,Remote,Full-Time,29,"Requirements Gathering, SQL, JIRA",B.Tech/B.E.,10,lead
NLP Engineer,Indian Unicorn,Media & Entertainment,Remote,Full-Time,38.7,"Python, BERT, LLMs, SpaCy, HuggingFace, Transformers",MCA,4.5,mid
Data Scientist,Startup,Information Technology,Tier 1,Full-Time,8.7,"Statistics, Tableau, Python, Pandas, TensorFlow, SQL",B.Sc (CS/IT),0.5,fresher
Node.js Developer,MNC,Information Technology,Remote,Full-Time,17.7,"Node.js, MongoDB, REST APIs, JavaScript",B.Tech/B.E.,4.5,mid
Python Developer,Indian Unicorn,Government/PSU,Tier 2,Full-Time,15.1,"REST APIs, Django, FastAPI, Docker, AWS",BCA,2,junior
Full Stack Developer,MNC,Information Technology,Remote,Full-Time,11.6,"Python, PostgreSQL, REST APIs, React",BCA,2,junior
DevOps Engineer,MNC,E-Commerce,Tier 1,Full-Time,16.6,"CI/CD, Kubernetes, Terraform, Jenkins",MCA,4.5,mid
Data Analyst,Startup,Banking & Finance,Tier 1,Full-Time,24.6,"SQL, Power BI, Python",B.Tech/B.E.,4.5,mid
Data Analyst,Startup,Banking & Finance,Remote,Full-Time,46.1,"Statistics, Power BI, Python",M.Tech/M.E.,10,lead
Power BI Developer,MNC,Information Technology,Tier 1,Full-Time,5.3,"Azure, DAX, Power BI, Data Modeling, ETL",B.Tech/B.E.,0.5,fresher
Cloud Engineer,Indian Unicorn,Information Technology,Remote,Part-Time,39.2,"Linux, Kubernetes, AWS, Terraform, GCP",B.Sc (CS/IT),8,senior
AI Engineer,PSU/Govt,Information Technology,Tier 1,Full-Time,4,"LLMs, LangChain, Vector DBs, RAG",BCA,0.5,fresher
React Developer,MNC,Automobile,Tier 2,Full-Time,26,"HTML/CSS, JavaScript, Next.js",B.Tech/B.E.,8,senior
Cloud Engineer,Indian Unicorn,Information Technology,Tier 2,Full-Time,26.5,"Azure, Docker, Terraform, Linux, AWS",B.Tech/B.E.,4.5,mid
Backend Developer,PSU/Govt,FinTech,Tier 1,Full-Time,23.2,"Node.js, Docker, Django, MongoDB",B.Sc (CS/IT),10,lead
Cloud Engineer,MNC,HealthTech,Remote,Full-Time,60,"Azure, Terraform, Kubernetes, AWS",B.Tech/B.E.,10,lead
Data Engineer,Startup,FinTech,Tier 2,Full-Time,8.5,"Spark, ETL, dbt",MCA,2,junior
UI/UX Designer,MNC,E-Commerce,Remote,Full-Time,30.2,"Prototyping, Wireframing, User Research",BCA,8,senior
Machine Learning Engineer,MNC,Government/PSU,Tier 2,Full-Time,38.9,"Scikit-learn, Kubernetes, Python, MLOps, TensorFlow",M.Tech/M.E.,8,senior
Node.js Developer,Startup,Manufacturing,Remote,Full-Time,24,"Express.js, Node.js, TypeScript, MongoDB, REST APIs, JavaScript",B.Tech/B.E.,4.5,mid
Python Developer,Startup,E-Commerce,Tier 2,Full-Time,5.4,"FastAPI, AWS, Django, Docker",M.Tech/M.E.,0.5,fresher
UI/UX Designer,PSU/Govt,EdTech,Tier 1,Internship,2.1,"Wireframing, Prototyping, CSS",PhD,4.5,mid
QA Engineer,Indian Unicorn,Logistics,Tier 1,Full-Time,55.3,"Selenium, Postman, API Testing, Manual Testing, Python",B.Tech/B.E.,8,senior
UI/UX Designer,Indian Unicorn,Information Technology,Tier 1,Full-Time,13.2,"CSS, Prototyping, Wireframing, Figma",B.Tech/B.E.,2,junior
Data Scientist,Indian Unicorn,Consulting,Tier 1,Full-Time,13,"Pandas, NLP, SQL, Scikit-learn, Deep Learning",B.Tech/B.E.,2,junior
React Developer,Startup,Banking & Finance,Tier 1,Full-Time,28,"Next.js, TypeScript, Redux",B.Tech/B.E.,8,senior
Full Stack Developer,MNC,Information Technology,Tier 1,Full-Time,11.8,"MongoDB, React, Python, REST APIs, Docker",MBA,2,junior
Cloud Engineer,Indian Unicorn,E-Commerce,Remote,Full-Time,8.9,"Kubernetes, AWS, Docker",MCA,2,junior
Data Scientist,Startup,FinTech,Remote,Full-Time,8.2,"Tableau, Python, Scikit-learn, Statistics",B.Com + Certification,0.5,fresher
Technical Lead,Startup,FinTech,Tier 1,Internship,3.3,"Agile, Microservices, Team Leadership, Code Review, System Design, AWS",B.Tech/B.E.,2,junior
Technical Lead,Startup,FinTech,Remote,Full-Time,14.3,"Team Leadership, Code Review, Microservices, AWS, Agile",B.Tech/B.E.,2,junior
Business Analyst,MNC,Information Technology,Remote,Internship,1.1,"SQL, Excel, Requirements Gathering",B.Sc (CS/IT),2,junior
UI/UX Designer,Indian Unicorn,Banking & Finance,Tier 2,Full-Time,34.3,"Prototyping, User Research, CSS, Wireframing",M.Tech/M.E.,4.5,mid
iOS Developer,MNC,E-Commerce,Tier 1,Full-Time,30.6,"REST APIs, Swift, Firebase",M.Tech/M.E.,8,senior
Full Stack Developer,Indian Unicorn,Information Technology,Tier 1,Full-Time,14.3,"REST APIs, AWS, PostgreSQL, Python, React",MCA,2,junior
Power BI Developer,Indian Unicorn,EdTech,Tier 1,Full-Time,12,"Data Modeling, DAX, Excel",B.Tech/B.E.,2,junior
Java Developer,Indian Unicorn,Media & Entertainment,Remote,Full-Time,69.3,"Microservices, Spring Boot, Hibernate",B.Sc (CS/IT),10,lead
Cloud Engineer,MNC,HealthTech,Tier 1,Full-Time,10.2,"Terraform, Docker, AWS, Kubernetes",MBA,2,junior
Product Manager,MNC,Information Technology,Tier 1,Full-Time,38.7,"JIRA, Agile, Roadmapping",B.Sc (CS/IT),8,senior
DevOps Engineer,Startup,Information Technology,Remote,Full-Time,7.6,"Linux, AWS, Kubernetes",B.Tech/B.E.,0.5,fresher
QA Engineer,MNC,Information Technology,Tier 2,Full-Time,20.2,"JIRA, API Testing, Manual Testing, Postman, Python, Selenium",BCA,4.5,mid
Python Developer,Indian Unicorn,Information Technology,Tier 2,Full-Time,43.1,"Django, Python, REST APIs, PostgreSQL",BCA,8,senior
Java Developer,Startup,Information Technology,Tier 1,Contract,20,"SQL, Maven, REST APIs, Microservices, Spring Boot",B.Tech/B.E.,4.5,mid
Software Engineer,Indian Unicorn,Information Technology,Tier 1,Full-Time,78.2,"Git, REST APIs, Algorithms, Java, System Design",B.Tech/B.E.,10,lead
Business Analyst,MNC,HealthTech,Remote,Full-Time,29.1,"SQL, Requirements Gathering, Agile, Power BI",B.Sc (CS/IT),8,senior
Technical Lead,Indian Unicorn,E-Commerce,Remote,Contract,6.1,"AWS, System Design, Team Leadership, Code Review, Agile, Microservices",MCA,0.5,fresher
Python Developer,MNC,HealthTech,Remote,Part-Time,30.7,"Django, Docker, REST APIs",B.Tech/B.E.,8,senior
Business Analyst,MNC,Information Technology,Tier 2,Full-Time,8.7,"SQL, Power BI, Requirements Gathering, JIRA, Excel, Agile",M.Tech/M.E.,2,junior
Business Analyst,Indian Unicorn,HealthTech,Tier 1,Full-Time,11.4,"SQL, Power BI, Agile, Excel, JIRA, Requirements Gathering",M.Tech/M.E.,2,junior
MLOps Engineer,Indian Unicorn,Manufacturing,Tier 1,Full-Time,7.7,"CI/CD, AWS, Kubernetes, Airflow",B.Tech/B.E.,0.5,fresher
NLP Engineer,PSU/Govt,FinTech,Tier 1,Full-Time,23,"TensorFlow, LLMs, HuggingFace",B.Tech/B.E.,10,lead
Cybersecurity Analyst,PSU/Govt,Automobile,Tier 1,Full-Time,19.2,"Penetration Testing, Network Security, Ethical Hacking",B.Com + Certification,10,lead
Cloud Engineer,Indian Unicorn,Information Technology,Remote,Full-Time,17.1,"Docker, GCP, Azure, AWS",MCA,2,junior
DevOps Engineer,Startup,Gaming,Remote,Full-Time,20,"Terraform, CI/CD, Jenkins, Linux, Docker, Ansible",MBA,4.5,mid
Node.js Developer,MNC,Consulting,Remote,Full-Time,31,"Node.js, REST APIs, MongoDB",B.Com + Certification,8,senior
Python Developer,PSU/Govt,Information Technology,Remote,Internship,1.4,"FastAPI, REST APIs, Docker, Python, Django, PostgreSQL",B.Tech/B.E.,2,junior
Engineering Manager,MNC,Information Technology,Tier 2,Full-Time,57.4,"People Management, System Design, OKRs, Roadmapping",B.Tech/B.E.,10,lead
Data Scientist,Startup,Manufacturing,Tier 1,Full-Time,17.3,"SQL, Statistics, Machine Learning, Deep Learning, Scikit-learn",M.Tech/M.E.,2,junior
Product Manager,Startup,Information Technology,Remote,Full-Time,6.6,"Agile, Roadmapping, SQL, JIRA, User Research, A/B Testing",MCA,0.5,fresher
Java Developer,Startup,Information Technology,Tier 1,Full-Time,30.7,"Java, Spring Boot, Microservices",B.Tech/B.E.,8,senior
Data Analyst,MNC,Banking & Finance,Remote,Full-Time,17.3,"Data Visualization, Excel, Tableau, Python, Power BI",B.Tech/B.E.,4.5,mid
Data Engineer,MNC,Information Technology,Tier 1,Full-Time,11.8,"Python, dbt, Airflow",B.Com + Certification,2,junior
Data Scientist,Indian Unicorn,E-Commerce,Tier 1,Full-Time,37.5,"Deep Learning, Machine Learning, NLP, Python, Scikit-learn, Tableau",MBA,4.5,mid
DevOps Engineer,MNC,Consulting,Tier 1,Part-Time,17.7,"AWS, Ansible, Docker, Kubernetes, Terraform",M.Tech/M.E.,4.5,mid
Software Engineer,MNC,Banking & Finance,Tier 1,Full-Time,10.1,"Algorithms, C++, System Design",B.Tech/B.E.,2,junior
Computer Vision Engineer,MNC,E-Commerce,Remote,Full-Time,9.5,"TensorFlow, PyTorch, Python, Deep Learning, YOLO, OpenCV",B.Tech/B.E.,2,junior
Machine Learning Engineer,MNC,Government/PSU,Tier 1,Part-Time,8.1,"Kubernetes, AWS, Docker, PyTorch, Scikit-learn, TensorFlow",B.Tech/B.E.,0.5,fresher
